File Name,Emotion
0_drawing_uliana_1672539346_7183501772000922886.mp3,Powerful
2_pe4enkata.official_1597152762_6859718838225800450.mp3,Serious
0_fundiambb1_1645740718_7068402551913745710.mp3,Melancholic
0_to.ne.ya_1653516255_7101798231528557829.mp3,Sad
0_map_nerd_1665262084_7152246144901467434.mp3,Melancholic
2_tummins_6.7_1670599165_7175168759940861190.mp3,Brooding
0_fundiambb1_1665173620_7151866200513875246.mp3,Dramatic
0_joeycontino2_1674679302_7192692755544509739.mp3,Passionate
1_debtman3535_1569517567_6741026606401309957.mp3,Melancholic
2_onlyfiber_1646000992_7069520428305354026.mp3,Melancholic
1_ssstik.io_1673709495029.mp3,Powerful
2_drdustinportela_1589602568_6827291025631972614.mp3,Sad
1_shaddowbannedagain_1658020766_7121144941081857286.mp3,Mysterious
0_malchyn_27_1646233872_7070520637063728390.mp3,Melancholic
0_fundiambb1_1663877401_7146298968018832682.mp3,Powerful
0_bearded_bee_man_1665937945_7155148935613599022.mp3,Serious
0_puryshev_mykhailo_1671712420_7179950145742638342.mp3,Powerful
1_Cópia de sashaalopezz_1662686228_7141182932047138053.mp3,Sad
2_thanhdolphin03082000_1595309268_6851801104452308225.mp3,Energetic
0_choppedbrain_1659951406_7129436977383918853.mp3,Powerful
0_pun1sher_ua_1649605546_7085001868807539974.mp3,Powerful
1_naughty_raja01_1571458271_6749361866633448706.mp3,Serious
1_prezelectcherryagain_1674481082_7191841375871044910.mp3,Powerful
1_sariaalto_1563513263_6715238332986559750.mp3,Emotional
1_jamessavoulidis_1673472636_7187510157222464769.mp3,Melancholic
0_toi_samiy_makar_1667915737_7163643512137714949.mp3,Powerful
2_yourlittle.uncle_1596470261_6856787506176789762.mp3,Positive
1_sashaalopezz_1662686228_7141182932047138053.mp3,Sad
2_naryki_1643038301_7056795762037919023.mp3,Triumphant
2_movilshop_official_1629999664_7000795241527725318.mp3,Powerful
1_ssstik.io_1673709506279.mp3,Happy
1_deepak_jena_7438_929_1571889848_6751215455496588545.mp3,Serious
2_buzzmoto_1620679423_6960765104459664645.mp3,Emotional
0_zelensky_fan01_official_1672144761_7181807038651993350.mp3,Romantic
